eta,Netflix,PrimeVideo,Disney+,Hulu,TimVision,NowTV,Infinity,Dplay,Chili,AppleTV,Crunchyroll,Prezzo
17,0,0,0,0,0,0,1,0,0,0,0,"7,99"
17,1,0,0,0,0,0,0,0,0,0,1,"16,98"
17,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0,0,"14,99"
17,0,0,0,0,0,0,0,0,0,0,1,"4,99"
17,1,0,0,0,0,0,0,0,0,0,0,"11,99"
17,1,1,0,0,0,0,0,0,0,0,0,"14,99"
17,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,3
17,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,"11,99"
18,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,0,0,0,0,0,0,0,"14,99"
18,0,1,0,0,0,0,0,0,0,0,0,3
18,1,0,1,0,0,0,0,0,0,0,1,"25,97"
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,"11,99"
19,1,1,0,0,0,0,1,0,0,0,0,"22,98"
19,0,0,0,0,0,1,0,0,0,0,1,"14,98"
20,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,"11,99"
20,0,0,0,1,0,0,0,0,0,0,0,"5,99"
20,0,1,0,0,0,0,0,0,0,0,0,3
20,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1,0,0,0,0,"7,99"
20,1,0,0,0,0,0,0,0,0,0,0,"11,99"
20,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0,0,0,1,"19,98"
20,1,0,0,0,0,0,0,0,0,0,0,"11,99"
20,0,0,1,0,0,0,1,0,0,0,0,"16,98"
21,0,1,0,0,0,0,0,0,0,0,0,3
21,1,0,0,0,0,0,0,0,0,0,0,"11,99"
21,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0,0,3
21,1,1,0,0,0,0,0,0,0,0,0,"14,99"
21,0,0,0,0,0,0,0,0,0,0,1,"4,99"
21,0,1,0,0,0,0,0,0,0,0,0,3
21,1,0,0,0,0,0,0,0,0,0,0,"11,99"
21,1,0,0,0,0,0,0,0,0,1,0,"16,98"
22,1,0,0,1,0,0,0,0,0,0,0,"17,98"
22,0,1,0,0,0,0,1,0,0,0,0,"10,99"
22,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,"4,99"
22,1,1,0,0,0,0,0,0,0,0,1,"19,98"
22,0,1,0,0,0,0,0,0,0,0,0,3
22,0,0,1,0,0,1,0,0,0,0,0,"18,98"
22,1,1,0,0,0,0,0,0,0,0,0,"14,99"
22,0,0,0,0,0,0,0,0,0,1,0,"4,99"
23,1,1,0,0,0,0,0,0,0,0,0,"14,99"
23,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,0,0,0,0,0,0,0,0,"11,99"
23,0,0,1,0,0,0,0,0,0,0,0,"8,99"
23,1,1,0,1,0,0,0,0,0,0,0,"20,98"
23,0,0,0,0,0,0,1,0,0,0,0,"7,99"
23,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,"11,99"
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,0,1,0,0,0,0,0,0,"7,99"
24,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,0,0,0,0,0,0,0,0,1,"19,98"
24,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,1,0,0,0,0,0,0,0,"17,98"
24,0,0,0,0,0,0,0,0,0,1,0,"4,99"
25,0,1,0,0,0,0,0,0,0,0,0,3
25,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,"11,99"
25,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,1,1,0,0,0,0,"29,97"
25,0,0,1,0,0,0,0,0,0,0,0,"8,99"
25,1,0,0,0,0,0,0,0,0,0,0,"11,99"
26,1,1,0,0,0,0,0,0,0,0,0,"14,99"
26,0,0,0,0,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0,0,3
26,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0,"11,99"
26,1,0,0,0,0,0,0,0,0,0,0,"11,99"
26,0,1,0,0,1,0,0,0,0,0,0,"7,99"
26,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,0,0,0,0,0,1,"13,98"
27,1,0,0,0,0,0,0,0,0,0,0,"11,99"
27,0,1,0,0,0,0,0,0,0,0,0,3
27,0,1,0,0,0,0,0,0,0,0,0,3
27,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,"11,99"
27,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0,0,3
20,0,1,0,0,0,0,0,0,0,0,0,3
20,0,0,1,0,0,1,0,0,0,0,0,"18,98"
20,1,0,0,0,0,0,0,0,0,0,0,"11,99"
20,0,1,0,0,0,0,1,0,0,1,0,"15,98"
20,1,0,1,0,0,1,0,0,0,0,0,"30,97"
20,0,1,0,0,0,0,0,0,0,0,0,3
28,0,0,0,1,0,0,0,0,0,0,0,"5,99"
28,1,0,0,0,0,0,0,0,0,0,0,"11,99"
28,0,1,0,0,0,0,0,0,0,0,0,3
28,0,1,0,0,0,0,0,0,1,0,0,3
20,1,0,0,0,0,0,0,0,0,0,0,"11,99"
28,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,1,0,0,0,0,"19,98"
28,0,1,0,0,0,0,0,0,0,0,0,3
28,1,0,0,0,0,0,0,0,0,0,0,"11,99"
29,1,0,0,0,0,0,0,0,0,0,1,"16,98"
29,0,0,0,0,0,1,0,0,0,0,0,"9,99"
29,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,0,0,0,"11,99"
29,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,0,0,0,0,0,0,1,0,"28,97"
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,3
30,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,1,0,0,0,0,"10,99"
30,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,"11,99"
30,0,1,0,0,0,0,0,0,0,0,0,3
30,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,1,0,0,0,0,0,"12,99"
30,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,0,0,0,1,0,0,0,0,"10,99"
31,1,0,0,0,0,0,0,0,1,0,0,"11,99"
31,1,0,0,0,0,0,0,0,0,0,0,"11,99"
31,1,0,0,0,0,0,0,0,0,1,0,"16,98"
32,1,0,1,0,0,0,0,0,0,0,0,"20,98"
33,0,0,0,0,0,1,0,0,0,0,0,"9,99"
34,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0
35,0,1,0,0,0,0,0,0,0,0,0,3
35,0,0,0,0,0,1,0,0,0,0,0,"9,99"
35,1,0,0,0,0,0,0,0,0,0,0,"11,99"
35,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0,0,"8,99"
37,1,0,0,0,0,0,0,0,0,0,0,"11,99"
37,0,0,1,0,0,0,0,0,0,0,0,"8,99"
38,0,0,0,0,0,0,0,0,0,1,0,"4,99"
39,0,0,0,0,0,0,1,0,0,0,0,"7,99"
